id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
711815,2014-05-31 21:29:29,2014-05-31,2014-06-01 04:29:29 UTC,Pacific Time (US & Canada),477,loarie,Scott Loarie,2014-06-02 02:19:36 UTC,2018-11-17 12:55:56 UTC,research,CC0,http://www.inaturalist.org/observations/711815,https://inaturalist-open-data.s3.amazonaws.com/photos/894325/medium.jpg,,,"my wife and I helped some friends move and then went to two open houses, then went for a hike. On the hike, she found this dead bedbug on her scarf thinking it was a live tick. First bed-bug I've seen (assuming I'm right) wonder where it came from - an open house?? Hope it doesn't have less dead buddies",1,0,FALSE,,san francisco,37.765287,-122.445374,4375,,,,4375,,,FALSE,,manual,Cimex lectularius,Cimex lectularius,Common Bed Bug,Insecta,69658
807014,Tue Jul 29 2014 02:33:23 GMT-0700 (PDT),2014-07-29,2014-07-29 09:33:23 UTC,Pacific Time (US & Canada),3494,damontighe,Damon Tighe,2014-07-29 10:11:31 UTC,2015-08-25 14:57:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/807014,https://inaturalist-open-data.s3.amazonaws.com/photos/1017124/medium.jpg,,,Howard Johnson room 203,1,0,FALSE,3,"1631 Hotel Cir S, San Diego, CA, US",32.7588583333,-117.1785716667,,,,,,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
1944880,Fri Sep 04 2015 08:17:20 GMT-0700 (PDT),2015-09-04,2015-09-04 15:17:20 UTC,Pacific Time (US & Canada),3494,damontighe,Damon Tighe,2015-09-14 06:39:29 UTC,2017-10-02 14:41:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1944880,https://inaturalist-open-data.s3.amazonaws.com/photos/2382126/medium.jpg,,,Gross mattress placed by our trash bins from neighboring building. Went to move it and ...gasp,2,0,FALSE,3,"Alameda County, US-CA, US",37.804025,-122.2650533333,,,,,,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
2017724,Wed Sep 30 2015 18:32:39 GMT-0700 (PDT),2015-09-30,2015-10-01 01:32:39 UTC,Pacific Time (US & Canada),3494,damontighe,Damon Tighe,2015-10-01 02:28:13 UTC,2016-09-06 01:15:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2017724,https://inaturalist-open-data.s3.amazonaws.com/photos/2458299/medium.jpg,,,"2nd mattress in a month dumped by our trash cans with this pest. Mattresses from 1514 Alice Street, Oakland, CA 94612",1,0,FALSE,3,"Alameda County, US-CA, US",37.804015,-122.265027,,,,,,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
2449923,2015-11-29,2015-11-29,,Pacific Time (US & Canada),146486,lopez_g,,2015-12-04 16:50:24 UTC,2021-10-29 06:39:36 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2449923,https://inaturalist-open-data.s3.amazonaws.com/photos/2736256/medium.jpg,,,"A small, about 1 cm (length and width) black bug with 6 noticeable legs and 2 antennae was seen and placed on a napkin in order to capture a good visual of the bug.",1,0,FALSE,,roosevelt park los angeles,33.970652,-118.242064,194,,,,194,,,FALSE,,,Постельные клопы,Cimicidae,Bed Bugs,Insecta,53667
3479852,2016/06/12 8:54 PM -0700,2016-06-12,2016-06-13 03:54:00 UTC,Arizona,477,loarie,Scott Loarie,2016-06-18 23:53:03 UTC,2016-06-19 02:15:07 UTC,research,CC0,http://www.inaturalist.org/observations/3479852,https://inaturalist-open-data.s3.amazonaws.com/photos/4046042/medium.jpg,,,,1,0,FALSE,,"Corte Madera, CA, USA",37.9282181254,-122.5243369718,2054,,,,2054,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
4044581,Mon Sep 05 2016 17:14:38 GMT-0700 (PDT),2016-09-05,2016-09-06 00:14:38 UTC,Pacific Time (US & Canada),3494,damontighe,Damon Tighe,2016-09-06 00:54:50 UTC,2017-09-08 04:39:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4044581,https://inaturalist-open-data.s3.amazonaws.com/photos/4786533/medium.jpg,,,"Mattresses from 1514 Alice St., Oakland, CA 94612. 3rd time this year. Owner and Manager still say they don't have a problem.",2,0,FALSE,3,"1514 Alice St, Oakland, CA, US",37.803905,-122.26503,,,,,,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
4443396,2016/10/06 11:35 AM UTC,2016-10-06,,UTC,323026,christopher87,Christopher Bell,2016-10-27 02:48:38 UTC,2018-10-09 01:23:55 UTC,research,,http://www.inaturalist.org/observations/4443396,https://static.inaturalist.org/photos/5350703/medium.jpg,,,,1,0,FALSE,,"San Diego County, US-CA, US",32.7276362,-117.0115826,0,,,,0,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
4884381,2016/12/25 2:53 PM -0800,2016-12-25,2016-12-25 22:53:00 UTC,Pacific Time (US & Canada),383819,camymacy,,2017-01-02 23:00:22 UTC,2024-02-14 17:04:59 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4884381,https://inaturalist-open-data.s3.amazonaws.com/photos/5938827/medium.jpg,,,"I found a light tan colored version of this bug first but I didn't save it because it was really hard to see it crawling on my skin (it blended in with my skin color). A few days later I see this darker version crawling on my hand, so I used scotch tape to pick it up and taped it to a white piece of paper. It's the size of a speck of dust so I tried to use a magnifier glass to enlarge the image.",0,0,FALSE,,"San Francisco, CA, USA",37.7749295,-122.4194155,7493,,,,7493,,,FALSE,,,Bed bugs,Cimicidae,Bed Bugs,Insecta,53667
6637464,2017-06-05,2017-06-05,,Pacific Time (US & Canada),507906,maciasaishaxv,,2017-06-14 05:13:08 UTC,2017-06-14 05:16:31 UTC,needs_id,,https://www.inaturalist.org/observations/6637464,https://static.inaturalist.org/photos/8426533/medium.jpg,,,,0,0,FALSE,,"San Ysidro, CA",32.556526,-117.051044,257,,,,257,,,FALSE,,,Bed Bugs,Cimicidae,Bed Bugs,Insecta,53667
7034122,Wed Jul 12 2017 23:31:14 GMT-0700 (PDT),2017-07-12,2017-07-13 06:31:14 UTC,Pacific Time (US & Canada),245783,jonathan48,Jonathan Luevano,2017-07-13 06:32:28 UTC,2018-01-13 23:53:40 UTC,needs_id,,https://www.inaturalist.org/observations/7034122,https://static.inaturalist.org/photos/9024227/medium.jpg,,,Red body with black eternal spec near posterior. ,0,0,FALSE,3,"4542 Willow Brook Ave, Los Angeles, CA, US",34.0895770699,-118.290434528,32,,,,32,,,FALSE,,,Bed Bugs,Cimicidae,Bed Bugs,Insecta,53667
7363136,Sat Aug 05 2017 11:56:06 GMT-0700 (PDT),2017-08-05,2017-08-05 18:56:06 UTC,Pacific Time (US & Canada),560627,marcial1003,,2017-08-05 18:56:32 UTC,2018-10-09 01:23:32 UTC,research,,https://www.inaturalist.org/observations/7363136,https://static.inaturalist.org/photos/9547558/medium.jpg,,,,1,0,FALSE,3,"2749 Alta Vista Dr, Newport Beach, CA, US",33.6415859079,-117.8701007088,5,,,,5,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
7934177,2017-09-15 1:06:00 PM PDT,2017-09-15,2017-09-15 20:06:00 UTC,Pacific Time (US & Canada),624492,missmadigapola,Miss Madigapola,2017-09-15 19:59:09 UTC,2018-01-14 00:17:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7934177,https://inaturalist-open-data.s3.amazonaws.com/photos/10475327/medium.jpeg,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",34.3138441468,-118.4123078013,6,,,,28832,obscured,,TRUE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
8361192,Tue Oct 10 2017 11:33:57 GMT-0700 (PDT),2017-10-10,2017-10-10 18:33:57 UTC,Pacific Time (US & Canada),560627,marcial1003,,2017-10-11 18:14:29 UTC,2021-05-28 04:00:30 UTC,needs_id,,https://www.inaturalist.org/observations/8361192,https://static.inaturalist.org/photos/11207048/medium.jpg,,,,1,0,FALSE,3,"Orange County, US-CA, US",33.7118933536,-117.7827062086,30,,,,30,,,FALSE,,,Cimex,Cimex,,Insecta,69660
8519543,Mon Oct 23 2017 07:52:44 GMT-0700 (PDT),2017-10-23,2017-10-23 14:52:44 UTC,Pacific Time (US & Canada),659961,scadorette,,2017-10-23 14:53:34 UTC,2020-02-13 15:46:22 UTC,needs_id,,https://www.inaturalist.org/observations/8519543,https://static.inaturalist.org/photos/11373292/medium.jpg,,,Found on my sweatshirt,1,0,FALSE,3,"Henry Coe State Park, Hollister, CA, US",37.0719194586,-121.3231827019,2501884,,,,2501884,,,FALSE,,,Cimex,Cimex,,Insecta,69660
9238444,Fri Dec 22 2017 06:30:31 GMT-0800 (PST),2017-12-22,2017-12-22 14:30:31 UTC,Pacific Time (US & Canada),716924,christophermayhew,Christopher Mayhew,2017-12-23 03:56:49 UTC,2018-12-01 04:56:27 UTC,research,,https://www.inaturalist.org/observations/9238444,https://static.inaturalist.org/photos/12504569/medium.jpg,,,,2,0,FALSE,3,"803 Canyon Blvd, Mammoth Lakes, CA, US",37.6469719249,-118.9991743271,56,,,,56,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
11926269,2018/04/29 3:39 PM PDT,2018-04-29,2018-04-29 22:39:00 UTC,Pacific Time (US & Canada),928477,giodude55,,2018-04-30 21:58:05 UTC,2021-03-28 22:11:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11926269,https://inaturalist-open-data.s3.amazonaws.com/photos/17074481/medium.jpeg,,,,2,0,FALSE,,"Central LA, Los Angeles, CA, USA",34.0462833333,-118.2513888889,30,,,,30,,,FALSE,,,Common Bed Bug,Cimex lectularius,Common Bed Bug,Insecta,69658
